COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 38186
Overall violation ratio: 1.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  620            28          28              1.0
  621            12          12              1.0
  622             8           8              1.0
  623            12          12              1.0
  624             9           9              1.0
  625             5           5              1.0
  626            16          16              1.0
  627            19          19              1.0
  628            13          13              1.0
  629            17          17              1.0
  630            12          12              1.0
  631            14          14              1.0
  632             7           7              1.0
  633            22          22              1.0
  634            16          16              1.0
  635            23          23              1.0
  636            20          20              1.0
  637            14          14              1.0
  638            14          14              1.0
  639            14          14              1.0
  640            17          17              1.0
  641            19          19              1.0
  642            21          21              1.0
  643            20          20              1.0
  644             9           9              1.0
  645            11          11              1.0
  646             8           8              1.0
  647            21          21              1.0
  648            21          21              1.0
  649            18          18              1.0
  650            23          23              1.0
  651            21          21              1.0
  652            13          13              1.0
  653            17          17              1.0
  654            19          19              1.0
  655            18          18              1.0
  656            25          25              1.0
  657            25          25              1.0
  658            18          18              1.0
  659             9           9              1.0
  660            19          19              1.0
  661            17          17              1.0
  662            32          32              1.0
  663            30          30              1.0
  664            22          22              1.0
  665            19          19              1.0
  666            14          14              1.0
  667            24          24              1.0
  668            33          33              1.0
  669            26          26              1.0
  670            24          24              1.0
  671            27          27              1.0
  672            24          24              1.0
  673            17          17              1.0
  674            22          22              1.0
  675            31          31              1.0
  676            29          29              1.0
  677            25          25              1.0
  678            32          32              1.0
  679            19          19              1.0
  680            18          18              1.0
  681             8           8              1.0
  682            31          31              1.0
  683            32          32              1.0
  684            34          34              1.0
  685            19          19              1.0
  686            30          30              1.0
  687            17          17              1.0
  688            17          17              1.0
  689            29          29              1.0
  690            25          25              1.0
  691            14          14              1.0
  692            11          11              1.0
  693            18          18              1.0
  694            12          12              1.0
  695            12          12              1.0
  696            28          28              1.0
  697            33          33              1.0
  698            30          30              1.0
  699            26          26              1.0
  700            24          24              1.0
  701            17          17              1.0
  702             6           6              1.0
  703            23          23              1.0
  704            37          37              1.0
  705            22          22              1.0
  706            24          24              1.0
  707            19          19              1.0
  708            19          19              1.0
  709            14          14              1.0
  710            31          31              1.0
  711            24          24              1.0
  712            21          21              1.0
  713            13          13              1.0
  714            10          10              1.0
  715            11          11              1.0
  716            12          12              1.0
  717            15          15              1.0
  718            26          26              1.0
  719            19          19              1.0
  720             7           7              1.0
  721            19          19              1.0
  722            15          15              1.0
  723            11          11              1.0
  724            25          25              1.0
  725            27          27              1.0
  726             6           6              1.0
  727            22          22              1.0
  728            30          30              1.0
  729            21          21              1.0
  730            27          27              1.0
  731            30          30              1.0
  732            31          31              1.0
  733            29          29              1.0
