Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
147,0.5986,1.0000,0.0986,N/A,N/A,0.5000,5,1,0.12
148,0.7347,1.0000,0.0347,N/A,N/A,0.3000,3,5,0.13
149,0.7326,1.0000,0.0326,N/A,N/A,0.3000,3,3,0.14
150,0.7741,1.0000,0.0741,N/A,N/A,0.3000,3,3,0.11
151,0.5634,1.0000,0.0634,N/A,N/A,0.5000,5,3,0.16
152,0.3732,0.8000,0.0732,N/A,N/A,0.5000,5,4,0.14
153,0.8000,1.0000,0.0000,N/A,N/A,0.2000,2,6,0.12
154,0.1274,0.5000,0.0274,N/A,N/A,0.4000,4,1,0.16
155,0.6113,0.8000,0.0113,N/A,N/A,0.2000,2,4,0.15
156,0.8330,1.0000,0.0330,N/A,N/A,0.2000,2,3,0.12
157,0.9892,1.0000,0.0892,N/A,N/A,0.1000,1,2,0.09
158,0.7891,1.0000,0.0891,N/A,N/A,0.3000,3,1,0.12
159,0.6155,0.6667,0.0488,N/A,N/A,0.1000,1,2,0.11
160,0.7547,1.0000,0.0547,N/A,N/A,0.3000,3,2,0.13
161,0.1747,0.3333,0.0414,N/A,N/A,0.2000,2,1,0.16
162,0.7315,1.0000,0.0315,N/A,N/A,0.3000,3,4,0.13
163,0.6582,0.6667,0.0915,N/A,N/A,0.1000,1,2,0.10
164,0.2511,0.5000,0.0511,N/A,N/A,0.3000,3,1,0.15
165,0.2533,0.5000,0.0533,N/A,N/A,0.3000,3,2,0.15
166,0.6436,0.8000,0.0436,N/A,N/A,0.2000,2,4,0.13
167,0.7764,1.0000,0.0764,N/A,N/A,0.3000,3,3,0.12
168,0.3519,0.6667,0.0852,N/A,N/A,0.4000,4,2,0.14
